,seed,d,v,target_tree_size,val_rmse,val_mae,rmse,mae
29,930.0,1.0,0.15,2.0,0.9909150077084113,0.798752806569084,0.9801727720043745,0.7729298530125479
30,930.0,1.0,0.15,3.0,1.100689364930147,0.8753948464166852,1.097960070786431,0.8573458526092902
31,930.0,1.0,0.15,4.0,1.280182828920727,1.0212616175913467,1.3076670470358287,1.0333884767145824
32,930.0,1.0,0.15,5.0,1.4920588192560487,1.1871791143238748,1.4887857345501199,1.1657429741930805
33,930.0,1.0,0.15,6.0,1.7825846745843623,1.4100802383014774,1.7346734961452466,1.392602162045637
34,930.0,1.0,0.15,7.0,1.9250525892260522,1.5405855123195278,1.907904266081676,1.531210393666255
35,930.0,1.0,0.175,1.0,1.1152264884826537,0.891782190070608,1.115276083221249,0.8991250318016757
36,930.0,1.0,0.175,2.0,0.9329652934058973,0.7483498937973923,0.9433044030467883,0.7536960760592217
37,930.0,1.0,0.175,3.0,1.194034778576816,0.9423384349530843,1.171677412156189,0.9126488125816917
38,930.0,1.0,0.175,4.0,1.3462865037045586,1.0618140340209383,1.356628276611523,1.075662579101881
39,930.0,1.0,0.175,5.0,1.470072936365621,1.1804809972113213,1.463011748926853,1.1556061974742537
40,930.0,1.0,0.175,6.0,1.7986652711902078,1.4280504922873285,1.748572452864666,1.3994037325746271
41,930.0,1.0,0.175,7.0,1.8709702457805621,1.4935342421630375,1.8667503143894895,1.5007771565631114
42,930.0,1.0,0.2,1.0,1.0987979339846106,0.8785790131127696,1.1042952559808716,0.8909258802879434
43,930.0,1.0,0.2,2.0,0.9208114871618657,0.73835171838309,0.9287909647597387,0.746713051699702
44,930.0,1.0,0.2,3.0,1.1645102105558391,0.9188657570505546,1.1691940637148897,0.9141844105566305
45,930.0,1.0,0.2,4.0,1.2835638000134717,1.013571076552795,1.350098233775367,1.0648676064365232
46,930.0,1.0,0.2,5.0,1.479606140636106,1.1809667444957632,1.4772418773462037,1.1766829233020428
47,930.0,1.0,0.2,6.0,1.7871098769530032,1.4260342749962267,1.7542494129642798,1.4114128134525814
48,930.0,1.0,0.2,7.0,1.8875466237793872,1.5038975741252356,1.8662224469688549,1.4907308841971671
49,930.0,1.0,0.225,1.0,1.1153373923660315,0.8890646766776547,1.1137503298762834,0.8950448123893333
50,930.0,1.0,0.225,2.0,0.9271327405836264,0.7510214613474194,0.9351895613001022,0.7440398999731869
51,930.0,1.0,0.225,3.0,1.1857788353520784,0.9431973719203451,1.2066918678006195,0.9421842159394793
52,930.0,1.0,0.225,4.0,1.4001127416904384,1.107985446025937,1.4120393747113125,1.1108537659427415
53,930.0,1.0,0.225,5.0,1.615857820901341,1.2914935686791214,1.5740259940516268,1.244955463475318
54,930.0,1.0,0.225,6.0,1.8520015629965174,1.4670433130376983,1.8251941982997297,1.464797889374156
55,930.0,1.0,0.225,7.0,1.8726240478826837,1.4986290871139802,1.8320890795020301,1.4813878957031497
56,930.0,1.0,0.25,1.0,1.1103359309495988,0.8900335053997812,1.1151640781161618,0.9020970533516504
57,930.0,1.0,0.25,2.0,0.9539155518489859,0.7633479971511729,0.9411915561418004,0.7464713082034286
58,930.0,1.0,0.25,3.0,1.1725879070447316,0.9247031054519388,1.1748695070992057,0.9196159610446277
59,930.0,1.0,0.25,4.0,1.348784776161139,1.068903051449874,1.340483177088257,1.0716690913127072
60,930.0,1.0,0.25,5.0,1.6945414311102862,1.341119755562667,1.623659111992929,1.2811173451625806
61,930.0,1.0,0.25,6.0,1.77506860385466,1.4107817471239537,1.7301906856206253,1.3787951887416448
62,930.0,1.0,0.25,7.0,1.9201679467063446,1.533281876465624,1.8976235464308395,1.5345280313890444
63,930.0,1.0,0.275,1.0,1.09690418259456,0.880901813970043,1.1125210629043567,0.8984156257949768
64,930.0,1.0,0.275,2.0,0.9786464210365939,0.7830076618933656,0.9636236529121789,0.7645638273804917
65,930.0,1.0,0.275,3.0,1.134210629477356,0.8984545054311336,1.1641414510505028,0.9003720831768021
66,930.0,1.0,0.275,4.0,1.486008565759724,1.1888224794387077,1.4822239604653435,1.172620797243437
67,930.0,1.0,0.275,5.0,1.6984696682466345,1.348709642291899,1.6382596580903594,1.3071691016320102
68,930.0,1.0,0.275,6.0,1.7657178318471365,1.4096227171453037,1.7573450115471212,1.412342753692706
69,930.0,1.0,0.275,7.0,1.9057402185260164,1.5315948348154147,1.876675019524405,1.5077127688168512
70,930.0,1.0,0.3,1.0,1.1352610513880803,0.9168682612066221,1.1447089660588075,0.9231805066593324
71,930.0,1.0,0.3,2.0,0.9749035604709492,0.7802817555057917,0.9491426887062163,0.7493242553773702
72,930.0,1.0,0.3,3.0,1.2236727504093692,0.9944936621228194,1.2283993723647844,0.9673199863352745
73,930.0,1.0,0.3,4.0,1.4308965915316116,1.1356427990944145,1.4387393496557912,1.1404717343443127
74,930.0,1.0,0.3,5.0,1.6226480302689708,1.284897253954765,1.563267292768991,1.2442559785321354
75,930.0,1.0,0.3,6.0,1.860201480677283,1.4926041113069728,1.875966540373902,1.515077077426257
76,930.0,1.0,0.3,7.0,1.952593903899334,1.5504363657936213,1.8906193145634589,1.5286188226891613
77,930.0,2.0,0.05,1.0,1.0917294750904363,0.8710454698091082,1.0956370772913469,0.8817066715427497
78,930.0,2.0,0.05,2.0,0.9372124522106059,0.7544120638764449,0.9454567903239169,0.7493363406347074
79,930.0,2.0,0.05,3.0,1.1033159947922895,0.8869876127737805,1.111036597811296,0.8737181875399356
80,930.0,2.0,0.05,4.0,1.339228214448854,1.057227274333324,1.3538391546156296,1.0631226754014975
81,930.0,2.0,0.05,5.0,1.5642347266841725,1.245959923886855,1.5317742189212185,1.2178920934478634
82,930.0,2.0,0.05,6.0,1.7561055220068327,1.4031032447317582,1.7215089580076879,1.3797947343342656
83,930.0,2.0,0.05,7.0,1.9190793988022816,1.5310269437129405,1.903309391031215,1.5327173736216584
84,930.0,2.0,0.075,1.0,1.1307290007731383,0.9022389835675535,1.1248842661432497,0.9076351916689275
85,930.0,2.0,0.075,2.0,0.926770501798204,0.7492088191056596,0.9423545223111048,0.7446245362346006
86,930.0,2.0,0.075,3.0,1.0796107504144532,0.8670473813991778,1.1027343636886555,0.8622256016140373
87,930.0,2.0,0.075,4.0,1.3335812198678236,1.0616537029036273,1.335993157948158,1.0414640642647137
88,930.0,2.0,0.075,5.0,1.5497280526655026,1.2271206446568013,1.522576334617446,1.2036007274751368
89,930.0,2.0,0.075,6.0,1.7556539165213016,1.40308072731451,1.7130998066544771,1.3742671504729655
90,930.0,2.0,0.075,7.0,1.9246020039926763,1.5342912333565049,1.9056181970730024,1.528930668237942
91,930.0,2.0,0.1,1.0,1.087697474499636,0.8708866923858949,1.0943180166690485,0.880772146950412
92,930.0,2.0,0.1,2.0,0.9282545387574695,0.7522156736146512,0.941059679742794,0.7462058056454659
93,930.0,2.0,0.1,3.0,1.0878308901623832,0.876658133610431,1.1046928098882907,0.8626265567354275
94,930.0,2.0,0.1,4.0,1.2894908256779773,1.0219371061557079,1.2948893353409756,1.0128206065321477
95,930.0,2.0,0.1,5.0,1.5271119501547874,1.217069171459229,1.4941622353374489,1.1804592755264844
96,930.0,2.0,0.1,6.0,1.7590135840473193,1.4025633740722963,1.7267260755515323,1.3828791624057428
97,930.0,2.0,0.1,7.0,1.926921502669427,1.5346154763412676,1.9069698917361901,1.5342296891793676
98,930.0,2.0,0.125,1.0,1.1077784257463927,0.8863749226909758,1.1116798486268609,0.8962939621681394
99,930.0,2.0,0.125,2.0,0.9848693034679907,0.7998087570188015,0.9748105913268083,0.7662656970183754
100,930.0,2.0,0.125,3.0,1.113150386320541,0.8909929338410015,1.1078545979142242,0.8727192541715313
101,930.0,2.0,0.125,4.0,1.296017343027291,1.0214629527836165,1.3212803329209486,1.0482864688953744
102,930.0,2.0,0.125,5.0,1.53078271698269,1.218817713007331,1.508246004912809,1.1942237417517267
103,930.0,2.0,0.125,6.0,1.7704310017058142,1.4201889543952346,1.7378370944022692,1.4013746739883268
104,930.0,2.0,0.125,7.0,1.8718431001696063,1.4988257894353865,1.8591333192843102,1.4923721736149969
105,930.0,2.0,0.15,1.0,1.0851416768098465,0.8698833499587025,1.0926564532510419,0.8795113297655578
106,930.0,2.0,0.15,2.0,0.9909150077084113,0.798752806569084,0.9801727720043745,0.7729298530125479
107,930.0,2.0,0.15,3.0,1.100689364930147,0.8753948464166852,1.097960070786431,0.8573458526092902
108,930.0,2.0,0.15,4.0,1.280182828920727,1.0212616175913467,1.3076670470358287,1.0333884767145824
109,930.0,2.0,0.15,5.0,1.4920588192560487,1.1871791143238748,1.4887857345501199,1.1657429741930805
110,930.0,2.0,0.15,6.0,1.7825846745843623,1.4100802383014774,1.7346734961452466,1.392602162045637
111,930.0,2.0,0.15,7.0,1.9250525892260522,1.5405855123195278,1.907904266081676,1.531210393666255
112,930.0,2.0,0.175,1.0,1.1152264884826537,0.891782190070608,1.115276083221249,0.8991250318016757
113,930.0,2.0,0.175,2.0,0.9329652934058973,0.7483498937973923,0.9433044030467883,0.7536960760592217
114,930.0,2.0,0.175,3.0,1.194034778576816,0.9423384349530843,1.171677412156189,0.9126488125816917
115,930.0,2.0,0.175,4.0,1.3462865037045586,1.0618140340209383,1.356628276611523,1.075662579101881
116,930.0,2.0,0.175,5.0,1.470072936365621,1.1804809972113213,1.463011748926853,1.1556061974742537
117,930.0,2.0,0.175,6.0,1.7986652711902078,1.4280504922873285,1.748572452864666,1.3994037325746271
118,930.0,2.0,0.175,7.0,1.8709702457805621,1.4935342421630375,1.8667503143894895,1.5007771565631114
119,930.0,2.0,0.2,1.0,1.0987979339846106,0.8785790131127696,1.1042952559808716,0.8909258802879434
120,930.0,2.0,0.2,2.0,0.9208114871618657,0.73835171838309,0.9287909647597387,0.746713051699702
121,930.0,2.0,0.2,3.0,1.1645102105558391,0.9188657570505546,1.1691940637148897,0.9141844105566305
122,930.0,2.0,0.2,4.0,1.2835638000134717,1.013571076552795,1.350098233775367,1.0648676064365232
123,930.0,2.0,0.2,5.0,1.479606140636106,1.1809667444957632,1.4772418773462037,1.1766829233020428
124,930.0,2.0,0.2,6.0,1.7871098769530032,1.4260342749962267,1.7542494129642798,1.4114128134525814
125,930.0,2.0,0.2,7.0,1.8875466237793872,1.5038975741252356,1.8662224469688549,1.4907308841971671
126,930.0,2.0,0.225,1.0,1.1153373923660315,0.8890646766776547,1.1137503298762834,0.8950448123893333
127,930.0,2.0,0.225,2.0,0.9271327405836264,0.7510214613474194,0.9351895613001022,0.7440398999731869
128,930.0,2.0,0.225,3.0,1.1857788353520784,0.9431973719203451,1.2066918678006195,0.9421842159394793
129,930.0,2.0,0.225,4.0,1.4001127416904384,1.107985446025937,1.4120393747113125,1.1108537659427415
130,930.0,2.0,0.225,5.0,1.615857820901341,1.2914935686791214,1.5740259940516268,1.244955463475318
131,930.0,2.0,0.225,6.0,1.8520015629965174,1.4670433130376983,1.8251941982997297,1.464797889374156
132,930.0,2.0,0.225,7.0,1.8726240478826837,1.4986290871139802,1.8320890795020301,1.4813878957031497
133,930.0,2.0,0.25,1.0,1.1103359309495988,0.8900335053997812,1.1151640781161618,0.9020970533516504
134,930.0,2.0,0.25,2.0,0.9539155518489859,0.7633479971511729,0.9411915561418004,0.7464713082034286
135,930.0,2.0,0.25,3.0,1.1725879070447316,0.9247031054519388,1.1748695070992057,0.9196159610446277
136,930.0,2.0,0.25,4.0,1.348784776161139,1.068903051449874,1.340483177088257,1.0716690913127072
137,930.0,2.0,0.25,5.0,1.6945414311102862,1.341119755562667,1.623659111992929,1.2811173451625806
138,930.0,2.0,0.25,6.0,1.77506860385466,1.4107817471239537,1.7301906856206253,1.3787951887416448
139,930.0,2.0,0.25,7.0,1.9201679467063446,1.533281876465624,1.8976235464308395,1.5345280313890444
140,930.0,2.0,0.275,1.0,1.09690418259456,0.880901813970043,1.1125210629043567,0.8984156257949768
141,930.0,2.0,0.275,2.0,0.9786464210365939,0.7830076618933656,0.9636236529121789,0.7645638273804917
142,930.0,2.0,0.275,3.0,1.134210629477356,0.8984545054311336,1.1641414510505028,0.9003720831768021
143,930.0,2.0,0.275,4.0,1.486008565759724,1.1888224794387077,1.4822239604653435,1.172620797243437
144,930.0,2.0,0.275,5.0,1.6984696682466345,1.348709642291899,1.6382596580903594,1.3071691016320102
145,930.0,2.0,0.275,6.0,1.7657178318471365,1.4096227171453037,1.7573450115471212,1.412342753692706
146,930.0,2.0,0.275,7.0,1.9057402185260164,1.5315948348154147,1.876675019524405,1.5077127688168512
147,930.0,2.0,0.3,1.0,1.1352610513880803,0.9168682612066221,1.1447089660588075,0.9231805066593324
148,930.0,2.0,0.3,2.0,0.9749035604709492,0.7802817555057917,0.9491426887062163,0.7493242553773702
149,930.0,2.0,0.3,3.0,1.2236727504093692,0.9944936621228194,1.2283993723647844,0.9673199863352745
150,930.0,2.0,0.3,4.0,1.4308965915316116,1.1356427990944145,1.4387393496557912,1.1404717343443127
151,930.0,2.0,0.3,5.0,1.6226480302689708,1.284897253954765,1.563267292768991,1.2442559785321354
152,930.0,2.0,0.3,6.0,1.860201480677283,1.4926041113069728,1.875966540373902,1.515077077426257
153,930.0,2.0,0.3,7.0,1.952593903899334,1.5504363657936213,1.8906193145634589,1.5286188226891613
154,930.0,3.0,0.05,1.0,1.0917294750904363,0.8710454698091082,1.0956370772913469,0.8817066715427497
155,930.0,3.0,0.05,2.0,0.9372124522106059,0.7544120638764449,0.9454567903239169,0.7493363406347074
156,930.0,3.0,0.05,3.0,1.1033159947922895,0.8869876127737805,1.111036597811296,0.8737181875399356
157,930.0,3.0,0.05,4.0,1.339228214448854,1.057227274333324,1.3538391546156296,1.0631226754014975
158,930.0,3.0,0.05,5.0,1.5642347266841725,1.245959923886855,1.5317742189212185,1.2178920934478634
159,930.0,3.0,0.05,6.0,1.7561055220068327,1.4031032447317582,1.7215089580076879,1.3797947343342656
160,930.0,3.0,0.05,7.0,1.9190793988022816,1.5310269437129405,1.903309391031215,1.5327173736216584
161,930.0,3.0,0.075,1.0,1.1307290007731383,0.9022389835675535,1.1248842661432497,0.9076351916689275
162,930.0,3.0,0.075,2.0,0.926770501798204,0.7492088191056596,0.9423545223111048,0.7446245362346006
163,930.0,3.0,0.075,3.0,1.0796107504144532,0.8670473813991778,1.1027343636886555,0.8622256016140373
164,930.0,3.0,0.075,4.0,1.3335812198678236,1.0616537029036273,1.335993157948158,1.0414640642647137
165,930.0,3.0,0.075,5.0,1.5497280526655026,1.2271206446568013,1.522576334617446,1.2036007274751368
166,930.0,3.0,0.075,6.0,1.7556539165213016,1.40308072731451,1.7130998066544771,1.3742671504729655
167,930.0,3.0,0.075,7.0,1.9246020039926763,1.5342912333565049,1.9056181970730024,1.528930668237942
168,930.0,3.0,0.1,1.0,1.087697474499636,0.8708866923858949,1.0943180166690485,0.880772146950412
169,930.0,3.0,0.1,2.0,0.9282545387574695,0.7522156736146512,0.941059679742794,0.7462058056454659
170,930.0,3.0,0.1,3.0,1.0878308901623832,0.876658133610431,1.1046928098882907,0.8626265567354275
171,930.0,3.0,0.1,4.0,1.2894908256779773,1.0219371061557079,1.2948893353409756,1.0128206065321477
172,930.0,3.0,0.1,5.0,1.5271119501547874,1.217069171459229,1.4941622353374489,1.1804592755264844
173,930.0,3.0,0.1,6.0,1.7590135840473193,1.4025633740722963,1.7267260755515323,1.3828791624057428
174,930.0,3.0,0.1,7.0,1.926921502669427,1.5346154763412676,1.9069698917361901,1.5342296891793676
175,930.0,3.0,0.125,1.0,1.1077784257463927,0.8863749226909758,1.1116798486268609,0.8962939621681394
176,930.0,3.0,0.125,2.0,0.9848693034679907,0.7998087570188015,0.9748105913268083,0.7662656970183754
177,930.0,3.0,0.125,3.0,1.113150386320541,0.8909929338410015,1.1078545979142242,0.8727192541715313
178,930.0,3.0,0.125,4.0,1.296017343027291,1.0214629527836165,1.3212803329209486,1.0482864688953744
179,930.0,3.0,0.125,5.0,1.53078271698269,1.218817713007331,1.508246004912809,1.1942237417517267
180,930.0,3.0,0.125,6.0,1.7704310017058142,1.4201889543952346,1.7378370944022692,1.4013746739883268
181,930.0,3.0,0.125,7.0,1.8718431001696063,1.4988257894353865,1.8591333192843102,1.4923721736149969
182,930.0,3.0,0.15,1.0,1.0851416768098465,0.8698833499587025,1.0926564532510419,0.8795113297655578
183,930.0,3.0,0.15,2.0,0.9909150077084113,0.798752806569084,0.9801727720043745,0.7729298530125479
184,930.0,3.0,0.15,3.0,1.100689364930147,0.8753948464166852,1.097960070786431,0.8573458526092902
185,930.0,3.0,0.15,4.0,1.280182828920727,1.0212616175913467,1.3076670470358287,1.0333884767145824
186,930.0,3.0,0.15,5.0,1.4920588192560487,1.1871791143238748,1.4887857345501199,1.1657429741930805
187,930.0,3.0,0.15,6.0,1.7825846745843623,1.4100802383014774,1.7346734961452466,1.392602162045637
188,930.0,3.0,0.15,7.0,1.9250525892260522,1.5405855123195278,1.907904266081676,1.531210393666255
189,930.0,3.0,0.175,1.0,1.1152264884826537,0.891782190070608,1.115276083221249,0.8991250318016757
190,930.0,3.0,0.175,2.0,0.9329652934058973,0.7483498937973923,0.9433044030467883,0.7536960760592217
191,930.0,3.0,0.175,3.0,1.194034778576816,0.9423384349530843,1.171677412156189,0.9126488125816917
192,930.0,3.0,0.175,4.0,1.3462865037045586,1.0618140340209383,1.356628276611523,1.075662579101881
193,930.0,3.0,0.175,5.0,1.470072936365621,1.1804809972113213,1.463011748926853,1.1556061974742537
194,930.0,3.0,0.175,6.0,1.7986652711902078,1.4280504922873285,1.748572452864666,1.3994037325746271
195,930.0,3.0,0.175,7.0,1.8709702457805621,1.4935342421630375,1.8667503143894895,1.5007771565631114
196,930.0,3.0,0.2,1.0,1.0987979339846106,0.8785790131127696,1.1042952559808716,0.8909258802879434
197,930.0,3.0,0.2,2.0,0.9208114871618657,0.73835171838309,0.9287909647597387,0.746713051699702
198,930.0,3.0,0.2,3.0,1.1645102105558391,0.9188657570505546,1.1691940637148897,0.9141844105566305
199,930.0,3.0,0.2,4.0,1.2835638000134717,1.013571076552795,1.350098233775367,1.0648676064365232
200,930.0,3.0,0.2,5.0,1.479606140636106,1.1809667444957632,1.4772418773462037,1.1766829233020428
201,930.0,3.0,0.2,6.0,1.7871098769530032,1.4260342749962267,1.7542494129642798,1.4114128134525814
202,930.0,3.0,0.2,7.0,1.8875466237793872,1.5038975741252356,1.8662224469688549,1.4907308841971671
203,930.0,3.0,0.225,1.0,1.1153373923660315,0.8890646766776547,1.1137503298762834,0.8950448123893333
204,930.0,3.0,0.225,2.0,0.9271327405836264,0.7510214613474194,0.9351895613001022,0.7440398999731869
205,930.0,3.0,0.225,3.0,1.1857788353520784,0.9431973719203451,1.2066918678006195,0.9421842159394793
206,930.0,3.0,0.225,4.0,1.4001127416904384,1.107985446025937,1.4120393747113125,1.1108537659427415
207,930.0,3.0,0.225,5.0,1.615857820901341,1.2914935686791214,1.5740259940516268,1.244955463475318
208,930.0,3.0,0.225,6.0,1.8520015629965174,1.4670433130376983,1.8251941982997297,1.464797889374156
209,930.0,3.0,0.225,7.0,1.8726240478826837,1.4986290871139802,1.8320890795020301,1.4813878957031497
210,930.0,3.0,0.25,1.0,1.1103359309495988,0.8900335053997812,1.1151640781161618,0.9020970533516504
211,930.0,3.0,0.25,2.0,0.9539155518489859,0.7633479971511729,0.9411915561418004,0.7464713082034286
212,930.0,3.0,0.25,3.0,1.1725879070447316,0.9247031054519388,1.1748695070992057,0.9196159610446277
213,930.0,3.0,0.25,4.0,1.348784776161139,1.068903051449874,1.340483177088257,1.0716690913127072
214,930.0,3.0,0.25,5.0,1.6945414311102862,1.341119755562667,1.623659111992929,1.2811173451625806
215,930.0,3.0,0.25,6.0,1.77506860385466,1.4107817471239537,1.7301906856206253,1.3787951887416448
216,930.0,3.0,0.25,7.0,1.9201679467063446,1.533281876465624,1.8976235464308395,1.5345280313890444
217,930.0,3.0,0.275,1.0,1.09690418259456,0.880901813970043,1.1125210629043567,0.8984156257949768
218,930.0,3.0,0.275,2.0,0.9786464210365939,0.7830076618933656,0.9636236529121789,0.7645638273804917
219,930.0,3.0,0.275,3.0,1.134210629477356,0.8984545054311336,1.1641414510505028,0.9003720831768021
220,930.0,3.0,0.275,4.0,1.486008565759724,1.1888224794387077,1.4822239604653435,1.172620797243437
221,930.0,3.0,0.275,5.0,1.6984696682466345,1.348709642291899,1.6382596580903594,1.3071691016320102
222,930.0,3.0,0.275,6.0,1.7657178318471365,1.4096227171453037,1.7573450115471212,1.412342753692706
223,930.0,3.0,0.275,7.0,1.9057402185260164,1.5315948348154147,1.876675019524405,1.5077127688168512
224,930.0,3.0,0.3,1.0,1.1352610513880803,0.9168682612066221,1.1447089660588075,0.9231805066593324
225,930.0,3.0,0.3,2.0,0.9749035604709492,0.7802817555057917,0.9491426887062163,0.7493242553773702
226,930.0,3.0,0.3,3.0,1.2236727504093692,0.9944936621228194,1.2283993723647844,0.9673199863352745
227,930.0,3.0,0.3,4.0,1.4308965915316116,1.1356427990944145,1.4387393496557912,1.1404717343443127
228,930.0,3.0,0.3,5.0,1.6226480302689708,1.284897253954765,1.563267292768991,1.2442559785321354
229,930.0,3.0,0.3,6.0,1.860201480677283,1.4926041113069728,1.875966540373902,1.515077077426257
230,930.0,3.0,0.3,7.0,1.952593903899334,1.5504363657936213,1.8906193145634589,1.5286188226891613
231,930.0,4.0,0.05,1.0,1.0917294750904363,0.8710454698091082,1.0956370772913469,0.8817066715427497
232,930.0,4.0,0.05,2.0,0.9372124522106059,0.7544120638764449,0.9454567903239169,0.7493363406347074
233,930.0,4.0,0.05,3.0,1.1033159947922895,0.8869876127737805,1.111036597811296,0.8737181875399356
234,930.0,4.0,0.05,4.0,1.339228214448854,1.057227274333324,1.3538391546156296,1.0631226754014975
235,930.0,4.0,0.05,5.0,1.5642347266841725,1.245959923886855,1.5317742189212185,1.2178920934478634
236,930.0,4.0,0.05,6.0,1.7561055220068327,1.4031032447317582,1.7215089580076879,1.3797947343342656
237,930.0,4.0,0.05,7.0,1.9190793988022816,1.5310269437129405,1.903309391031215,1.5327173736216584
238,930.0,4.0,0.075,1.0,1.1307290007731383,0.9022389835675535,1.1248842661432497,0.9076351916689275
239,930.0,4.0,0.075,2.0,0.926770501798204,0.7492088191056596,0.9423545223111048,0.7446245362346006
240,930.0,4.0,0.075,3.0,1.0796107504144532,0.8670473813991778,1.1027343636886555,0.8622256016140373
241,930.0,4.0,0.075,4.0,1.3335812198678236,1.0616537029036273,1.335993157948158,1.0414640642647137
242,930.0,4.0,0.075,5.0,1.5497280526655026,1.2271206446568013,1.522576334617446,1.2036007274751368
243,930.0,4.0,0.075,6.0,1.7556539165213016,1.40308072731451,1.7130998066544771,1.3742671504729655
244,930.0,4.0,0.075,7.0,1.9246020039926763,1.5342912333565049,1.9056181970730024,1.528930668237942
245,930.0,4.0,0.1,1.0,1.087697474499636,0.8708866923858949,1.0943180166690485,0.880772146950412
246,930.0,4.0,0.1,2.0,0.9282545387574695,0.7522156736146512,0.941059679742794,0.7462058056454659
247,930.0,4.0,0.1,3.0,1.0878308901623832,0.876658133610431,1.1046928098882907,0.8626265567354275
248,930.0,4.0,0.1,4.0,1.2894908256779773,1.0219371061557079,1.2948893353409756,1.0128206065321477
249,930.0,4.0,0.1,5.0,1.5271119501547874,1.217069171459229,1.4941622353374489,1.1804592755264844
250,930.0,4.0,0.1,6.0,1.7590135840473193,1.4025633740722963,1.7267260755515323,1.3828791624057428
251,930.0,4.0,0.1,7.0,1.926921502669427,1.5346154763412676,1.9069698917361901,1.5342296891793676
252,930.0,4.0,0.125,1.0,1.1077784257463927,0.8863749226909758,1.1116798486268609,0.8962939621681394
253,930.0,4.0,0.125,2.0,0.9848693034679907,0.7998087570188015,0.9748105913268083,0.7662656970183754
254,930.0,4.0,0.125,3.0,1.113150386320541,0.8909929338410015,1.1078545979142242,0.8727192541715313
255,930.0,4.0,0.125,4.0,1.296017343027291,1.0214629527836165,1.3212803329209486,1.0482864688953744
256,930.0,4.0,0.125,5.0,1.53078271698269,1.218817713007331,1.508246004912809,1.1942237417517267
257,930.0,4.0,0.125,6.0,1.7704310017058142,1.4201889543952346,1.7378370944022692,1.4013746739883268
258,930.0,4.0,0.125,7.0,1.8718431001696063,1.4988257894353865,1.8591333192843102,1.4923721736149969
259,930.0,4.0,0.15,1.0,1.0851416768098465,0.8698833499587025,1.0926564532510419,0.8795113297655578
260,930.0,4.0,0.15,2.0,0.9909150077084113,0.798752806569084,0.9801727720043745,0.7729298530125479
261,930.0,4.0,0.15,3.0,1.100689364930147,0.8753948464166852,1.097960070786431,0.8573458526092902
